,province,country,id,value,color,Change,value_old,color_old,Change1
180,,Montenegro,139,0.0,green,yellow,0.0,green,Cases almost under control
181,,Morocco,113,0.463264761,orange,yellow,0.662837296,orange,Cases almost under control
182,,Mozambique,121,0.967741935,red,green,1.0,red,Cases under control
183,,Namibia,217,0.285714286,yellow,yellow,0.0,green,Cases almost under control
184,,Nepal,155,0.8828125,red,yellow,1.0,red,Cases almost under control
185,Aruba,Netherlands,dutch_153,0.0,green,green,0.0,green,Cases under control
186,Curacao,Netherlands,dutch_154,0.0,green,green,0.0,green,Cases under control
187,Sint Maarten,Netherlands,dutch_155,0.024691358,green,green,0.024691358,green,Cases under control
188,,Netherlands,dutch_156,0.163269959,yellow,yellow,0.18798158,yellow,Cases almost under control
189,,New Zealand,159,0.009327115,green,yellow,0.01065956,green,Cases almost under control
190,,Nicaragua,158,0.982591876,red,green,0.857142857,red,Cases under control
191,,Niger,125,0.188679245,yellow,green,0.273584906,yellow,Cases under control
192,,Nigeria,152,0.957395498,red,green,0.900321543,red,Cases under control
193,,North Macedonia,111,0.432087511,orange,yellow,0.388331814,yellow,Cases almost under control
194,,Norway,154,0.065496153,green,yellow,0.077727362,green,Cases almost under control
195,,Oman,117,0.996252129,red,green,0.988056959,red,Cases under control
196,,Pakistan,162,0.981030648,red,green,0.924866285,red,Cases under control
197,,Panama,164,0.648118218,orange,yellow,0.755945509,orange,Cases almost under control
198,,Papua New Guinea,166,0.0,green,green,0.0,green,Cases under control
199,,Paraguay,160,0.221850613,yellow,yellow,0.609810479,orange,Cases almost under control
200,,Peru,161,0.942766316,red,yellow,0.95111974,red,Cases almost under control
201,,Philippines,172,0.761990624,orange,yellow,0.760908763,orange,Cases almost under control
202,,Poland,163,0.940873016,red,yellow,0.88247012,red,Cases almost under control
203,,Portugal,165,0.276244846,yellow,yellow,0.259372027,yellow,Cases almost under control
204,,Qatar,168,0.964229249,red,yellow,0.977652167,red,Cases almost under control
205,,Romania,170,0.498699877,orange,yellow,0.606541672,orange,Cases almost under control
206,,Russia,174,0.826711405,red,yellow,0.919878761,red,Cases almost under control
207,,Rwanda,175,0.333333333,yellow,green,0.193236715,yellow,Cases under control
208,,Saint Kitts and Nevis,177,0.0,green,green,0.0,green,Cases under control
209,,Saint Lucia,188,0.0,green,green,0.0,green,Cases under control
210,,Saint Vincent and the Grenadines,212,0.090909091,green,green,0.0,green,Cases under control
211,,San Marino,234,0.123493976,yellow,yellow,0.189759036,yellow,Cases almost under control
212,,Sao Tome and Principe,199,0.177884615,yellow,green,0.0,green,Cases under control
213,,Saudi Arabia,176,0.97597069,red,yellow,0.981556729,red,Cases almost under control
214,,Senegal,182,0.864185111,red,green,0.966229839,red,Cases under control
215,,Serbia,237,0.21464108,yellow,yellow,0.203127221,yellow,Cases almost under control
216,,Seychelles,178,0.0,green,green,0.0,green,Cases under control
217,,Sierra Leone,184,0.90858209,red,green,1.0,red,Cases under control
218,,Singapore,185,0.583467959,orange,red,0.723209478,orange,Cases increasing
219,,Slovakia,104,0.066604995,green,yellow,0.081406105,green,Cases almost under control
220,,Slovenia,183,0.01320132,green,yellow,0.03630363,green,Cases almost under control
221,,Somalia,186,0.774224806,orange,green,0.96195122,red,Cases under control
222,,South Africa,179,0.974855156,red,yellow,1.0,red,Cases almost under control
223,,Spain,187,0.14844185,yellow,yellow,0.246193429,yellow,Cases almost under control
224,,Sri Lanka,25,0.439735099,orange,green,0.401324503,orange,Cases under control
225,,Sudan,189,0.984379694,red,green,0.907367668,red,Cases under control
226,,Suriname,157,0.142857143,yellow,green,0.0,green,Cases under control
227,,Sweden,190,0.834092544,red,yellow,0.830975785,red,Cases almost under control
228,,Switzerland,192,0.028483625,green,green,0.038574443,green,Cases under control
229,,Syria,191,0.575,orange,green,0.6,orange,Cases under control
230,,Taiwan*,245,0.005333333,green,red,0.0,green,Cases increasing
231,,Tanzania,204,0.0,green,yellow,0.054104478,green,Cases almost under control
232,,Thailand,194,0.016380016,green,yellow,0.026208026,green,Cases almost under control
233,,Timor-Leste,228,0.0,green,green,0.0,green,Cases under control
234,,Togo,198,0.832432432,red,green,0.958333333,red,Cases under control
235,,Trinidad and Tobago,193,0.0,green,yellow,0.0,green,Cases almost under control
236,,Tunisia,200,0.042049934,green,green,0.023653088,green,Cases under control
237,,Turkey,201,0.275705896,yellow,green,0.334086289,yellow,Cases under control
238,,Uganda,205,0.281786942,yellow,green,0.996047431,red,Cases under control
239,,Ukraine,207,0.811582213,red,red,0.899276112,red,Cases increasing
240,,United Arab Emirates,227,0.968371177,red,yellow,0.976868709,red,Cases almost under control
241,Falkland Islands (Malvinas),United Kingdom,61,0.0,green,green,1.0,red,Cases under control
242,Anguilla,United Kingdom,127,0.0,green,green,0.083333333,green,Cases under control
243,British Virgin Islands,United Kingdom,214,0.333333333,yellow,green,0.0,green,Cases under control
244,Turks and Caicos Islands,United Kingdom,235,0.0,green,green,0.333333333,yellow,Cases under control
245,Bermuda,United Kingdom,uk_206,0.159090909,yellow,green,0.113636364,yellow,Cases under control
