jhu_province,jhu_country,province,country,id,value,color,Change,value_old,color_old
,Japan,,Japan,88,0.082915605,green,red,0.1247432,yellow
,Jordan,,Jordan,90,0.397372742,yellow,red,0.367816092,yellow
,Kazakhstan,,Kazakhstan,97,1,red,yellow,0.796377607,red
,Kenya,,Kenya,91,1,red,,0.959578207,red
,Kosovo,,Kosovo,kos_1,0.1,green,green,0.1,green
,Kuwait,,Kuwait,96,0.957710908,red,,1,red
,Kyrgyzstan,,Kyrgyzstan,92,0.995176849,red,yellow,0.807823129,red
,Laos,,Laos,98,0,green,,0,green
,Latvia,,Latvia,100,0.271794872,yellow,green,0.305982906,yellow
,Lebanon,,Lebanon,99,0.749116608,orange,red,0.427561837,orange
,Liberia,,Liberia,103,0.587301587,orange,green,0.507936508,orange
,Libya,,Libya,106,0.235294118,yellow,red,0.029411765,green
,Liechtenstein,,Liechtenstein,105,0,green,,0,green
,Lithuania,,Lithuania,102,0.210109019,yellow,red,0.211100099,yellow
,Luxembourg,,Luxembourg,135,0.050570459,green,red,0.049337034,green
,Madagascar,,Madagascar,107,1,red,,0.940677966,red
,Malawi,,Malawi,22,0.814814815,red,,1,red
,Malaysia,,Malaysia,120,0.221731449,yellow,red,0.231448763,yellow
,Maldives,,Maldives,118,0.684890656,orange,,0.791252485,red
,Mali,,Mali,112,0.884086444,red,green,0.78978389,orange
,Malta,,Malta,116,0.510989011,orange,red,0.35989011,yellow
,Mauritania,,Mauritania,115,1,red,,1,red
,Mauritius,,Mauritius,114,0,green,,0,green
,Mexico,,Mexico,119,0.73620021,orange,red,0.953647125,red
,Moldova,,Moldova,171,0.92122281,red,,0.956745623,red
,Monaco,,Monaco,137,0.025316456,green,,0.025316456,green
,Mongolia,,Mongolia,109,1,red,green,1,red
,Montenegro,,Montenegro,139,0,green,red,0,green
,Morocco,,Morocco,113,0.463264761,orange,red,0.662837296,orange
,Mozambique,,Mozambique,121,0.967741935,red,,1,red
,Namibia,,Namibia,217,0.285714286,yellow,green,0,green
,Nepal,,Nepal,155,0.8828125,red,,1,red
Aruba,Netherlands,Aruba,Netherlands,dutch_153,0,green,,0,green
Curacao,Netherlands,Curacao,Netherlands,dutch_154,0,green,,0,green
Sint Maarten,Netherlands,Sint Maarten,Netherlands,dutch_155,0.024691358,green,,0.024691358,green
,Netherlands,,Netherlands,dutch_156,0.163269959,yellow,red,0.18798158,yellow
,New Zealand,,New Zealand,159,0.009327115,green,,0.01065956,green
,Nicaragua,,Nicaragua,158,0.982591876,red,,0.857142857,red
,Niger,,Niger,125,0.188679245,yellow,green,0.273584906,yellow
,Nigeria,,Nigeria,152,0.957395498,red,,0.900321543,red
,North Macedonia,,North Macedonia,111,0.432087511,orange,red,0.388331814,yellow
,Norway,,Norway,154,0.065496153,green,red,0.077727362,green
,Oman,,Oman,117,0.996252129,red,red,0.988056959,red
,Pakistan,,Pakistan,162,0.981030648,red,yellow,0.924866285,red
,Panama,,Panama,164,0.648118218,orange,red,0.755945509,orange
,Papua New Guinea,,Papua New Guinea,166,0,green,,0,green
