province,country,id,value,color,Change,value_old,color_old
,Kyrgyzstan,92,0.995176849,red,yellow,0.8078231290000001,red
,Laos,98,0.0,green,green,0.0,green
,Latvia,100,0.27179487199999997,yellow,red,0.305982906,yellow
,Lebanon,99,0.749116608,orange,red,0.42756183700000006,orange
,Liberia,103,0.587301587,orange,green,0.507936508,orange
,Libya,106,0.235294118,yellow,red,0.029411765,green
,Liechtenstein,105,0.0,green,green,0.0,green
,Lithuania,102,0.21010901899999998,yellow,red,0.21110009899999999,yellow
,Luxembourg,135,0.050570459000000005,green,red,0.049337034,green
,Madagascar,107,1.0,red,yellow,0.940677966,red
,Malawi,22,0.814814815,red,green,1.0,red
,Malaysia,120,0.221731449,yellow,red,0.231448763,yellow
,Maldives,118,0.684890656,orange,red,0.791252485,red
,Mali,112,0.884086444,red,green,0.78978389,orange
,Malta,116,0.510989011,orange,red,0.35989011,yellow
,Mauritania,115,1.0,red,green,1.0,red
,Mauritius,114,0.0,green,green,0.0,green
,Mexico,119,0.73620021,orange,red,0.953647125,red
,Moldova,171,0.92122281,red,red,0.956745623,red
,Monaco,137,0.025316456,green,green,0.025316456,green
,Mongolia,109,1.0,red,green,1.0,red
,Montenegro,139,0.0,green,red,0.0,green
,Morocco,113,0.463264761,orange,red,0.662837296,orange
,Mozambique,121,0.967741935,red,red,1.0,red
,Namibia,217,0.28571428600000004,yellow,red,0.0,green
,Nepal,155,0.8828125,red,red,1.0,red
Aruba,Netherlands,dutch_153,0.0,green,yellow,0.0,green
Curacao,Netherlands,dutch_154,0.0,green,green,0.0,green
Sint Maarten,Netherlands,dutch_155,0.024691357999999997,green,green,0.024691357999999997,green
,Netherlands,dutch_156,0.163269959,yellow,red,0.18798158,yellow
,New Zealand,159,0.009327115,green,green,0.01065956,green
,Nicaragua,158,0.982591876,red,green,0.857142857,red
,Niger,125,0.188679245,yellow,green,0.273584906,yellow
,Nigeria,152,0.957395498,red,red,0.900321543,red
,North Macedonia,111,0.43208751100000004,orange,red,0.388331814,yellow
,Norway,154,0.065496153,green,red,0.07772736200000001,green
,Oman,117,0.996252129,red,red,0.988056959,red
,Pakistan,162,0.981030648,red,yellow,0.924866285,red
,Panama,164,0.648118218,orange,red,0.755945509,orange
,Papua New Guinea,166,0.0,green,green,0.0,green
,Paraguay,160,0.221850613,yellow,red,0.609810479,orange
,Peru,161,0.9427663159999999,red,red,0.95111974,red
,Philippines,172,0.7619906240000001,orange,red,0.760908763,orange
,Poland,163,0.940873016,red,red,0.88247012,red
,Portugal,165,0.276244846,yellow,red,0.259372027,yellow
,Qatar,168,0.9642292490000001,red,yellow,0.977652167,red
,Romania,170,0.498699877,orange,red,0.606541672,orange
,Russia,174,0.826711405,red,red,0.919878761,red
,Rwanda,175,0.333333333,yellow,green,0.193236715,yellow
,Saint Kitts and Nevis,177,0.0,green,green,0.0,green
,Saint Lucia,188,0.0,green,green,0.0,green
,Saint Vincent and the Grenadines,212,0.090909091,green,green,0.0,green
